1002 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0323E8A0 dir_q=0x12 PUT   type= 1, size0=0, SLot_SFN = 0x000000FE mcycle=1942383658
1003 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x1201E180 dir_q=0x11 PUT   type= 0, size0=0, SLot_SFN = 0x000000FE mcycle=1942384804
1004 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032CB220 dir_q=0x02 GET   type= 1, size0=0, SLot_SFN = 0x000000FE mcycle=1942445476
1005 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032D3220 dir_q=0x02 GET   type= 2, size0=0, SLot_SFN = 0x000000FE mcycle=1942465958
1006 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032CB220 dir_q=0x02 FREE  type= 1, size0=0, SLot_SFN = 0x000000FE mcycle=1942478327
1007 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C02020 dir_q=0x01 GET   type= 0, size0=0, SLot_SFN = 0x000000FE mcycle=1942478985
1008 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C02020 dir_q=0x01 FREE  type= 0, size0=0, SLot_SFN = 0x000000FE mcycle=1942479408
1009 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032D3220 dir_q=0x02 FREE  type= 2, size0=0, SLot_SFN = 0x000000FE mcycle=1942480612
1010 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032468A0 dir_q=0x12 PUT   type= 1, size0=0, SLot_SFN = 0x000000FE mcycle=1942499948
1011 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12000720 dir_q=0x11 PUT   type= 0, size0=0, SLot_SFN = 0x000000FE mcycle=1942501273
1012 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0322E8A0 dir_q=0x12 PUT   type= 2, size0=1, SLot_SFN = 0x000000FE mcycle=1942503490
