PFI 0 PRINTF(   257 :  829314577): msg=0x032C3220,dir_q=,0x02,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x3113031B,mcycle=,826767024
PFI 0 PRINTF(   257 :  829315280): msg=0x032CB220,dir_q=,0x02,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3200031C,mcycle=,827211954
PFI 0 PRINTF(   257 :  829350564): msg=0x032CB220,dir_q=,0x02,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x3200031C,mcycle=,827226332
PFI 0 PRINTF(   257 :  829351270): msg=0x032BB220,dir_q=,0x02,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3301031C,mcycle=,827733031
PFI 0 PRINTF(   257 :  829351967): msg=0x032BB220,dir_q=,0x02,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x3301031C,mcycle=,827745004
PFI 0 PRINTF(   257 :  829352664): msg=0x032D3220,dir_q=,0x02,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x3403031C,mcycle=,828683947
PFI 0 PRINTF(   257 :  829353361): msg=0x032D3220,dir_q=,0x02,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x3403031C,mcycle=,828701345
PFI 0 PRINTF(   257 :  829354058): msg=0x032C3220,dir_q=,0x02,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x3503031C,mcycle=,828702187
PFI 0 PRINTF(   257 :  829354756): msg=0x032C3220,dir_q=,0x02,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x3503031C,mcycle=,828714717
PFI 0 PRINTF(   257 :  829356845): msg=0x12C02020,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xE60E031B,mcycle=,824138135
PFI 0 PRINTF(   257 :  829357543): msg=0x12C02020,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xE60E031B,mcycle=,824190466
PFI 0 PRINTF(   257 :  829358242): msg=0x12C29420,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xE70F031B,mcycle=,824637925
PFI 0 PRINTF(   257 :  829358939): msg=0x12C29420,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xE70F031B,mcycle=,824690206
PFI 0 PRINTF(   257 :  829359637): msg=0x12C02020,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xE810031B,mcycle=,825138292
PFI 0 PRINTF(   257 :  829360335): msg=0x12C02020,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xE810031B,mcycle=,825177088
PFI 0 PRINTF(   257 :  829361032): msg=0x12C29420,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xE912031B,mcycle=,826245794
PFI 0 PRINTF(   257 :  829397245): msg=0x12C29420,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xE912031B,mcycle=,826269287
PFI 0 PRINTF(   257 :  829397952): msg=0x12C02020,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xEA00031C,mcycle=,827143217
PFI 0 PRINTF(   257 :  829398650): msg=0x12C02020,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xEA00031C,mcycle=,827211103
PFI 0 PRINTF(   257 :  829399349): msg=0x12C29420,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xEB01031C,mcycle=,827637906
PFI 0 PRINTF(   257 :  829400048): msg=0x12C29420,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xEB01031C,mcycle=,827678591
PFI 0 PRINTF(   257 :  829400746): msg=0x12C02020,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xEC02031C,mcycle=,828141883
PFI 0 PRINTF(   257 :  829401443): msg=0x12C02020,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xEC02031C,mcycle=,828190272
PFI 0 PRINTF(   257 :  829402141): msg=0x12C29420,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xED03031C,mcycle=,828676445
PFI 0 PRINTF(   257 :  829402838): msg=0x12C29420,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xED03031C,mcycle=,828700360
