PFI 12 PRINTF(   257 :  829313442): msg=0x032CB220,dir_q=,0x02,GET   ,type= ,2, size0=0, SLot_SFN = ,0x2E10031B,mcycle=,825206063
PFI 12 PRINTF(   257 :  829314169): msg=0x032C3220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x2D11031B,mcycle=,825636338
PFI 12 PRINTF(   257 :  829314866): msg=0x032BB220,dir_q=,0x02,GET   ,type= ,2, size0=0, SLot_SFN = ,0x2F11031B,mcycle=,825724812
PFI 12 PRINTF(   257 :  829349980): msg=0x032CB220,dir_q=,0x02,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x2E12031B,mcycle=,826135573
PFI 12 PRINTF(   257 :  829350677): msg=0x032D3220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3012031B,mcycle=,826271580
PFI 12 PRINTF(   257 :  829351404): msg=0x032BB220,dir_q=,0x02,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x2F13031B,mcycle=,826635548
PFI 12 PRINTF(   257 :  829352101): msg=0x032C3220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3113031B,mcycle=,826767753
PFI 12 PRINTF(   257 :  829352828): msg=0x032D3220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3000031C,mcycle=,827136778
PFI 12 PRINTF(   257 :  829353525): msg=0x032CB220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3200031C,mcycle=,827227584
PFI 12 PRINTF(   257 :  829355609): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xE901031C,mcycle=,827637078
PFI 12 PRINTF(   257 :  829356338): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xEA01031C,mcycle=,827652610
PFI 12 PRINTF(   257 :  829357035): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xE20C031B,mcycle=,823137229
PFI 12 PRINTF(   257 :  829357762): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xE30C031B,mcycle=,823152157
PFI 12 PRINTF(   257 :  829358459): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xE30D031B,mcycle=,823637285
PFI 12 PRINTF(   257 :  829359186): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xE40D031B,mcycle=,823652445
PFI 12 PRINTF(   257 :  829359883): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xE40E031B,mcycle=,824137540
PFI 12 PRINTF(   257 :  829360610): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xE50E031B,mcycle=,824152394
PFI 12 PRINTF(   257 :  829396628): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xE50F031B,mcycle=,824636746
PFI 12 PRINTF(   257 :  829397355): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xE60F031B,mcycle=,824652259
PFI 12 PRINTF(   257 :  829398052): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xE610031B,mcycle=,825136781
PFI 12 PRINTF(   257 :  829398779): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xE710031B,mcycle=,825151930
PFI 12 PRINTF(   257 :  829399476): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xE711031B,mcycle=,825637158
PFI 12 PRINTF(   257 :  829400203): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xE813031B,mcycle=,826651167
PFI 12 PRINTF(   257 :  829400900): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xE800031C,mcycle=,827137565
PFI 12 PRINTF(   257 :  829401597): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xE900031C,mcycle=,827153198
